Address,Neighborhood,Ward,Description,ZipCode,Usage,Lot Square Feet,ParcelId
3010 KOSSUTH AV,Fairground Neighborhood,3,1 Story Brick Commercial Building,63107,Commercial,3000.04,19400001400
4041 25TH ST,Hyde Park,3,1 Story Brick Commercial Building,63107,Commercial,3673.416642,23990000900
4206 N FLORISSANT AV,Hyde Park,3,Past Use--Gas Station/Auto Repair,63107,Commercial,3924.85,24350000100
3619 W FLORISSANT AV,College Hill,3,1 Story Brick Commercial Building,63107,Commercial,5128.37201,24790000109
3625 CARTER AV,Fairground Neighborhood,3,1 Story Commercial Building,63107,Commercial,14731.23,24840000100
4404 ST LOUIS AV,The Ville,4,1 Story Brick Commercial Building,63115,Commercial,3181.0041715,37080000550
4234 DR MARTIN LUTHER KING DR,Vandeventer,4,2 Story Brick Commercial Building,63113,Commercial,7501.146987,37280001800
4536 DR MARTIN LUTHER KING DR,Lewis Place,4,2 Story Brick Commercial Building,63113,Commercial,12544,37760000200
4048 EVANS AV,Vandeventer,4,1 Story Brick Commercial Building,63113,Commercial,13005,37330000700
2747 ARSENAL ST,Benton Park West,9,1 Story Brick Commercial Building,63118,Commercial,3125,20580001700
4169 N NEWSTEAD AV,Penrose,21,1 Story Brick Commercial Building,63115,Commercial,2619.101,44130003650
5984 MINERVA AV,Hamilton Heights,22,1 Story Brick Commercial,63112,Commercial,4011,38340500150
5755 DR MARTIN LUTHER KING DR,Wells / Goodfellow,22,1 Story Brick Commercial Building,63112,Commercial,8453.500417,48260007150
5416 RIDGE AV,Hamilton Heights,26,1 Story Brick Commercial Building,63112,Commercial,3677.69,38020301600
5416 RIDGE AV,Hamilton Heights,26,1 Story Brick Commercial Building,63112,Commercial,3677.69,38020301650
1327 ACADEMY AV,Academy,26,4 Story Brick School Building,63113,Commercial,28236,37920003420
5051 RIVERVIEW BLVD,Walnut Park West,27,1 Story Commercial Building,63120,Commercial,7091,53510001600

