Address,Neighborhood,Ward,Description,ZipCode,Usage,Lot Square Feet,ParcelId
4961 ROSALIE ST,Mark Twain,1,Building E Unit 4-Contact Myrtle Bailey at 314-367-4709,63115,Condominium,0,54930005000
745 WALTON AV,Fountain Park,18,See Property Solutions Group-314-785-0400,63108,Condominium,0,37620507500
2727 HAMILTON AV,Wells / Goodfellow,22,Industrial Building--1.163 Acres of Land,63120,Industrial,51767.2119025,91010003200
5701 LINCOLN WAY,Mark Twain / I-70 Industrial,22,3.3244 Acres/1-3 Story Mixed Industrial Building,63120,Industrial,144368.69,43500000910
4103 N EUCLID AV,Penrose,1,2 Story Brick Mixed Use Building,63115,Mixed,2625,43831601700
4130 N EUCLID AV,Penrose,1,2 Story Brick Mixed Use Building,63115,Mixed,4406,43891105600
5316 UNION BLVD,Mark Twain,1,2 Story Brick Mixed Use Building,63115,Mixed,6487.9297225,50840000400
7760 EAST RAILROAD AV,Baden,2,3 Story Brick 12 Unit Building,63147,Mixed,10327,42320004500
3427 BLAIR AV,Hyde Park,3,2 Story Brick Mixed Use Building,63107,Mixed,1957.416278,11810501400
4301 GROVE ST,Fairground Neighborhood,3,2 Story Brick Mixed Use Building,63107,Mixed,2580,14040000907
4300 COLLEGE AV,Fairground Neighborhood,3,2 Story Brick Mixed Use Building-a/k/a 3921 Carter Ave.,63107,Mixed,2874.6197385,33940000100
3008 KOSSUTH AV,Fairground Neighborhood,3,2 Story Brick Mixed Use Building,63107,Mixed,3000.08,19400001500
3500 N GRAND BLVD,JeffVanderLou,3,3 Story Brick Mixed Use Building-NEW PRICE,63107,Mixed,4620.840152,52150002300
3651 NORTH MARKET ST,JeffVanderLou,3,2 Story Brick Mixed Use Building,63113,Mixed,4920,18730003600
4265 N 20TH ST,Hyde Park,3,2 Story Brick Mixed Use Building,63107,Mixed,5553.974967,24360001500
4368 COLLEGE AV,Fairground Neighborhood,3,2 Story Mixed Use Building,63107,Mixed,8284.7301055,33940002207
2749 N VANDEVENTER AV,The Greater Ville,4,2 Story Brick Mixed Use Building,63113,Mixed,2400,36440102100
2716 N TAYLOR AV,The Ville,4,2 Story Brick Mixed Use Building,63113,Mixed,2761.5304815,37070003900
2627 MARCUS AV,Kingsway East,4,2 Story Brick Mixed Use Building,63113,Mixed,2925.283305,44770203907
4553 DR MARTIN LUTHER KING DR,The Greater Ville,4,2 Story Brick Mixed Use Building,63113,Mixed,3408.448224,37230001650
4471 ST LOUIS AV,The Greater Ville,4,3 Story Brick Mixed Use Building,63115,Mixed,3857.547875,44690603100
4045 ASHLAND AV,The Greater Ville,4,2 Story Brick Mixed Use Building,63107,Mixed,5006,51940002700
4279 KENNERLY AV,The Ville,4,2 Story Brick Mixed Use Building,63113,Mixed,5486,36740005107
2520 N VANDEVENTER AV,JeffVanderLou,4,2 Story Brick Mixed Use Building,63113,Mixed,5492.136029,36310000700
4037 COTE BRILLIANTE AV,The Greater Ville,4,2 Story Brick Mixed Use Building,63113,Mixed,5674.140133,36560002700
2602 N TAYLOR AV,The Ville,4,2 Story Brick Mixed Use Building,63113,Mixed,5994,37060004100
1225 N TAYLOR AV,Lewis Place,4,2.5 Story Brick Mixed Use Building,63113,Mixed,6380,45530501807
4409 ST LOUIS AV,The Greater Ville,4,2 Story Brick Mixed Use Building,63115,Mixed,6555,44690601907
3114 NEW ASHLAND PL,The Greater Ville,4,2 Story Brick Mixed Use Building,63115,Mixed,6584.7222185,44670401700
2400 MARCUS AV,The Greater Ville,4,2 Story Brick Mixed Use Building aka 4663-69 N. Market,63113,Mixed,6878.4506155,44720003000
4400 ST LOUIS AV,The Ville,4,2 Story Brick Mixed Use Building,63115,Mixed,8000,37080000607
4236 DR MARTIN LUTHER KING DR,Vandeventer,4,2 Story Brick Mixed Use Building,63113,Mixed,11006,37280001700
2704 UTAH ST,Benton Park West,9,2 Story Brick Mixed Use Building,63118,Mixed,3500,15150002000
4740 DR MARTIN LUTHER KING DR,Lewis Place,18,2 Story Brick Mixed Use Building,63113,Mixed,2391.120964,37770500500
4742 DR MARTIN LUTHER KING DR,Lewis Place,18,2 Story Brick Mixed Use Building,63113,Mixed,4367.879047,37770500400
3459 PENNSYLVANIA AV,Gravois Park,20,2 Story Brick Mixed Use Building,63118,Mixed,3923.293024,15770004107
4035 W FLORISSANT AV,O'Fallon,21,2 Story Brick Mixed Use Building,63107,Mixed,1089.458283,35440004100
4309 LEE AV,O'Fallon,21,2 Story Brick Mixed Use Building,63115,Mixed,2555,35730403000
4151 N NEWSTEAD AV,Penrose,21,2 Story Brick Mixed Use Building,63115,Mixed,2733.099,44130004207
4033 W FLORISSANT AV,O'Fallon,21,2 Story Brick Mixed Use Building,63107,Mixed,2855,35440004007
4009 W FLORISSANT AV,O'Fallon,21,2 Story Brick Mixed Use Building,63107,Mixed,3000,35440003307
4105 W FLORISSANT AV,O'Fallon,21,2 Story Brick Mixed Use Building,63115,Mixed,3662,35430002607
4201 FAIR AV,O'Fallon,21,1 Story Brick Commercial & 2 Story Brick 4 Family Flat,63115,Mixed,6529.8502265,35660002007
4200 HARRIS AV,O'Fallon,21,2 Story Brick Mixed Use Building,63115,Mixed,6695,35660003000
2049 ALICE AV,O'Fallon,21,2 Story Brick Mixed Use Building,63107,Mixed,7324,35380003007
5400 ST LOUIS AV,Wells / Goodfellow,22,2 Story Brick Mixed Use Building,63120,Mixed,1816.9822145,48250005600
5818 DR MARTIN LUTHER KING DR,Hamilton Heights,22,2 Story Brick Mixed Use Building,63112,Mixed,3035.213436,53060001300
5988 MINERVA AV,Hamilton Heights,22,2 Story Brick Mixed Use Building,63112,Mixed,5495,38340500107
1485 GOODFELLOW BLVD,Hamilton Heights,22,2 Story Brick Mixed Use Building,63112,Mixed,6925,53060001707
1343 GOODFELLOW BLVD,Hamilton Heights,22,2 Story Brick Mixed Use Building,63112,Mixed,8655,38230301600
5700 DR MARTIN LUTHER KING DR,Hamilton Heights,22,2 Story Brick Mixed Use Building,63112,Mixed,9670.017666,38191001300
5746 DR MARTIN LUTHER KING DR,Hamilton Heights,22,2 Story Brick Mixed Use Building,63112,Mixed,12235.79621,38190901000
5780 THEKLA AV,Walnut Park East,27,2 Story Brick Mixed Use Building,63120,Mixed,1102.326,54140002200
5201 GENEVIEVE AV,Walnut Park East,27,2 Story Brick Mixed Use Building,63120,Mixed,6250,55300005200

