Address,Neighborhood,Ward,Description,ZipCode,Usage,Lot Square Feet,ParcelId
4864 PALM ST,Kingsway East,1,1 Story Frame Residence,63115,Residential,2457,44530000400
3326 ABNER PL,Wells / Goodfellow,1,2 Story Brick Two Family Flat,63120,Residential,2563.49,45190100800
4932 LILBURN AV,Mark Twain,1,2 Story Frame Residence,63115,Residential,2615,54670003400
3319 WILLIAM PL,Wells / Goodfellow,1,1 Story Frame Residence,63120,Residential,2635,45190102500
4728 ASHLAND CT,Kingsway East,1,1 Story Brick Residence,63115,Residential,2650,44590600400
3323 ABNER PL,Wells / Goodfellow,1,1 Story Frame Residence,63120,Residential,2664.59,45190202100
3310 WILLIAM PL,Wells / Goodfellow,1,1 Story Brick Residence,63120,Residential,2721.172552,52480500500
3314 ABNER PL,Wells / Goodfellow,1,2 Story Frame Residence,63120,Residential,2725,45190100500
4113 WALBRIDGE PL,Penrose,1,1 Story Frame Residence,63115,Residential,2750,43831702200
3314 WILLIAM PL,Wells / Goodfellow,1,1 Story Brick Residence,63120,Residential,2759.467816,52480500700
3309 ABNER PL,Wells / Goodfellow,1,1 Story Brick Residence,63120,Residential,2765.37,45190202600
4966 HARNEY AV,Mark Twain,1,1 Story Frame Residence,63115,Residential,2812,52620002700
3312 WILLIAM PL,Wells / Goodfellow,1,1 Story Brick Residence,63120,Residential,2822.630688,52480500600
3307 ABNER PL,Wells / Goodfellow,1,2 Story Frame Residence,63120,Residential,2881.76,45190202700
3401 MARCUS AV,Kingsway East,1,a/k/a 4703 Ashland-2 Story Brick Four Family Flat,63115,Residential,2935.274657,44590601800
3417 MARCUS AV,Kingsway East,1,2 Story Brick Two Family Flat,63115,Residential,3080,44590601300
5064 GERALDINE AV,Mark Twain,1,1 Story Frame Residence,63115,Residential,3113,50860002100
5034 CLAXTON AV,Mark Twain,1,1 Story Frame Residence,63120,Residential,3125,50880001100
1716 UNION BLVD,Kingsway West,1,1 Story Brick Residence,63113,Residential,3125,45110004500
4952 CLAXTON AV,Mark Twain,1,1 Story Brick Residence,63120,Residential,3125.0692235,55580001900
4963 THEKLA AV,Mark Twain,1,1 Story Brick Residence,63115,Residential,3137,54680001700
4107 WALBRIDGE PL,Penrose,1,1 Story Frame Residence,63115,Residential,3150.174322,43831702400
5419 RUSKIN AV,Mark Twain,1,2 Story Frame Residence,63115,Residential,3187,50800003700
5370 UNION BLVD,Mark Twain,1,1 Story Brick Residence,63115,Residential,3187,50840002100
5334 UNION BLVD,Mark Twain,1,1.5 Story Frame Residence,63115,Residential,3188,50840001000
5338 UNION BLVD,Mark Twain,1,2 Story Frame Residence,63115,Residential,3188,50840001100
5323 GERALDINE AV,Mark Twain,1,2 Story Brick Residence,63115,Residential,3188,50840004100
5321 GERALDINE AV,Mark Twain,1,1 Story Frame Residence,63115,Residential,3210.7827415,50840004200
5079 N KINGSHIGHWAY BLVD,Mark Twain,1,2 Story Brick Two Family Flat,63115,Residential,3219,57440003600
2935 ABNER PL,Wells / Goodfellow,1,1 Story Brick Residence,63120,Residential,3279,45180004400
4917 ASHBY AV,Mark Twain,1,2 Story Frame Residence,63115,Residential,3374.8413725,54660000200
4346 N EUCLID AV,Penrose,1,2 Story Brick Residence,63115,Residential,3458,43910206300
5120 TERRY AV,Kingsway West,1,1 Story Brick Residence,63115,Residential,3562,44990602100
5239 TERRY AV,Kingsway West,1,1 Story Brick Residence,63115,Residential,3576,44980001700
4936 FARLIN AV,Penrose,1,2 Story Frame Residence,63115,Residential,3600,54630001000
4877 CARTER AV,Penrose,1,2 Story Frame Residence,63115,Residential,3600,43910102800
4719 GREER AV,Kingsway East,1,2 Story Brick Residence,63115,Residential,3708,44810304600
5205 THEODOSIA AV,Kingsway West,1,2 Story Frame Residence,63113,Residential,3750,45110002300
5217 N EUCLID AV,Mark Twain,1,1.5 Story Frame Residence,63115,Residential,3750,55330004500
5250 PAULIAN PL,Kingsway West,1,2 Story Brick Residence,63113,Residential,3750,52830000300
5246 PAULIAN PL,Kingsway West,1,2 Story Brick Two Family Flat,63113,Residential,3750,52830000400
4920 SAN FRANCISCO AV,Penrose,1,1 Story Brick Residence,63115,Residential,3780,43870001500
5206 ST LOUIS AV,Kingsway West,1,1 Story Brick Residence,63115,Residential,3781,44990500600
5452 GERALDINE AV,Mark Twain,1,2 Story Frame Residence,63115,Residential,3825,50800001600
5097 RUSKIN AV,Mark Twain,1,2 Story Frame Residence,63115,Residential,3825,50860003600
4911 ST LOUIS AV,Kingsway East,1,2.5 Story Brick Two Family Flat,63115,Residential,3825,52600002600
5083 GERALDINE AV,Mark Twain,1,1 Story Frame Residence,63115,Residential,3840,50870004400
5072 UNION BLVD,Mark Twain,1,2 Story Frame Residence,63115,Residential,3840,50870002700
4914 LILBURN AV,Mark Twain,1,1 Story Brick and 1 Story Frame Residence,63115,Residential,3917,54670003900
4721 GREER AV,Kingsway East,1,2.5 Story Brick Residence,63115,Residential,3924,44810304700
5132 TERRY AV,Kingsway West,1,1 Story Brick Residence,63115,Residential,3943,44990601600
5448 UNION BLVD,Mark Twain,1,1 Story Frame Residence,63115,Residential,3961,50810001300
5142 MAFFITT AV,Kingsway West,1,2 Story Brick Residence,63113,Residential,4025,45020501400
4237 N EUCLID AV,Penrose,1,2 Story Frame Residence,63115,Residential,4081.752595,43800300200
4874 CALVIN AV,Penrose,1,1 Story Brick Residence,63115,Residential,4083,43911100700
4960 MARGARETTA AV,Penrose,1,2 Story Frame Residence,63115,Residential,4163,54640000200
4960 FARLIN AV,Penrose,1,2 Story Frame Residence,63115,Residential,4200,54630000200
5219 PALM ST,Kingsway West,1,2 Story Brick Two Family Flat,63115,Residential,4375,59490001000
4114 N KINGSHIGHWAY BLVD,Penrose,1,2 Story Frame Residence,63115,Residential,4420,43832900300
5243 TERRY AV,Kingsway West,1,1 Story Brick Residence,63115,Residential,4432,44980001800
4975 THEKLA AV,Mark Twain,1,2 Story Brick Four Family Flat,63115,Residential,4483,54680002000
5229 LOTUS AV,Kingsway West,1,2 Story Brick Two Family Flat,63113,Residential,4514,45050007350
4909 ST LOUIS AV,Kingsway East,1,2.5 Story Brick Two Family Flat,63115,Residential,4590,52600002400
5141 HIGHLAND AV,Kingsway West,1,2 Story Brick Two Family Flat,63113,Residential,5075,45020602300
