Address,Neighborhood,Ward,Description,ZipCode,Usage,Lot Square Feet,ParcelId
5137 WABADA AV,Kingsway West,1,,63113,Vacant Lot,14.86,45040004900
5030 CLAXTON AV,Mark Twain,1,,63120,Vacant Lot,39.777093,50880000900
4875 SACRAMENTO AV,Penrose,1,,63115,Vacant Lot,240,43880605600
4879 SACRAMENTO AV,Penrose,1,,63115,Vacant Lot,240,43880605900
4853 SACRAMENTO AV,Penrose,1,,63115,Vacant Lot,240,43880604600
5225 WABADA AV,Kingsway West,1,,63113,Vacant Lot,285.1,45040006400
4913 TERRY AV,Kingsway East,1,,63115,Vacant Lot,288,44930202300
4909 ST LOUIS AV,Kingsway East,1,,63115,Vacant Lot,317.309142,52600002500
5053 TERRY AV,Kingsway West,1,,63115,Vacant Lot,427.42766,45000202200
3019 UNION BLVD,Wells / Goodfellow,1,2.5 Foot Wide Strip,63115,Vacant Lot,468.4295655,52470001250
2817 N KINGSHIGHWAY BLVD,Kingsway West,1,,63115,Vacant Lot,1049.9498715,45000103000
5135 BROWN AV,Mark Twain / I-70 Industrial,1,0.034 Acres,63115,Vacant Lot,1413.316298,43820500900
5031 UNION BLVD,Mark Twain,1,,63115,Vacant Lot,1443.364649,50880005420
5033 UNION BLVD,Mark Twain,1,,63115,Vacant Lot,1588.3765655,50880005410
4140 N EUCLID AV,Penrose,1,,63115,Vacant Lot,2054.0712005,43891105800
2910 ABNER PL,Wells / Goodfellow,1,,63120,Vacant Lot,2055.65,52460003100
4542 DURANT AV,Mark Twain,1,,63115,Vacant Lot,2127.7619015,57410000150
4111 WALBRIDGE PL,Penrose,1,,63115,Vacant Lot,2216.488965,43831702300
4970 LEE AV,Penrose,1,,63115,Vacant Lot,2249.946242,43832901000
4931 PENROSE ST,Penrose,1,,63115,Vacant Lot,2300.03364,43800401100
4911 FARLIN AV,Penrose,1,,63115,Vacant Lot,2331.8470935,43831602000
4207 N EUCLID AV,Penrose,1,,63115,Vacant Lot,2343.72,43800300900
4140 WALBRIDGE PL,Penrose,1,,63115,Vacant Lot,2378.680905,43831600700
4127 WALBRIDGE PL,Penrose,1,,63115,Vacant Lot,2383.5295985,43831701609
5447 SHREVE AV,Mark Twain,1,,63115,Vacant Lot,2422.706672,43930001800
3329 WILLIAM PL,Wells / Goodfellow,1,,63120,Vacant Lot,2477,45190102100
3311 WILLIAM PL,Wells / Goodfellow,1,,63120,Vacant Lot,2491.1617445,45190102700
4544 DURANT AV,Mark Twain,1,,63115,Vacant Lot,2570,57410000200
2718 UNION BLVD,Kingsway West,1,,63113,Vacant Lot,2574.9083565,45030503200
2722 UNION BLVD,Kingsway West,1,,63113,Vacant Lot,2583.9433415,45030503300
3315 ABNER PL,Wells / Goodfellow,1,,63120,Vacant Lot,2610.74,45190202400
3315 WILLIAM PL,Wells / Goodfellow,1,,63120,Vacant Lot,2615.5904595,45190102600
4138 WALBRIDGE PL,Penrose,1,,63115,Vacant Lot,2628.2704595,43831600600
4123 WALBRIDGE PL,Penrose,1,,63115,Vacant Lot,2648.858306,43831701800
3331 ABNER PL,Wells / Goodfellow,1,,63120,Vacant Lot,2652.23,45190201800
